generation,phase1,phase2,delay
1,24,21,2913.04
2,19,24,2763.08
3,18,12,3377.49
4,19,21,2752.15
5,22,16,2592.70
6,18,20,2829.71
7,19,16,2847.58
8,24,20,3114.14
9,91,5,3266.35
10,25,32,3328.98
11,18,29,3088.19
12,20,25,2690.00
13,20,31,3008.37
14,20,31,3008.37
15,22,31,3037.57
16,19,25,2634.35
17,45,56,3471.94
18,17,11,3020.53
19,19,20,2735.36
20,17,11,3020.53
21,15,13,3055.15
22,20,22,2839.08
23,45,44,3416.45
24,21,13,2954.60
25,19,18,2667.33
26,19,18,2667.33
27,45,44,3416.45
28,42,44,3455.70
29,19,16,2847.58
30,21,17,2789.73
31,18,17,2730.22
32,21,29,2819.81
33,22,15,2608.91
34,22,15,2608.91
35,21,16,2870.73
36,21,14,2868.74
37,21,14,2868.74
38,21,23,2604.34
39,21,24,2657.38
40,21,26,2631.98
41,21,26,2631.98
42,21,26,2631.98
43,21,24,2657.38
44,21,24,2657.38
45,21,26,2631.98
46,21,24,2657.38
47,21,26,2631.98
48,21,26,2631.98
49,21,26,2631.98
50,21,24,2657.38
51,22,16,2592.70
52,22,16,2592.70
53,21,18,2495.36
54,20,17,2464.37
55,21,18,2495.36
56,21,18,2495.36
57,21,26,2631.98
58,21,18,2495.36
59,21,18,2495.36
60,21,26,2631.98
61,21,18,2495.36
62,21,18,2495.36
63,21,23,2604.34
64,21,26,2631.98
65,21,26,2631.98
66,21,18,2495.36
67,21,18,2495.36
68,21,18,2495.36
69,21,26,2631.98
70,21,26,2631.98
71,21,18,2495.36
72,21,23,2604.34
73,21,23,2604.34
74,21,27,2748.05
75,21,27,2748.05
76,21,26,2631.98
77,21,23,2604.34
78,22,23,2705.08
79,21,25,2666.73
80,22,17,2673.47
81,22,17,2673.47
82,21,26,2631.98
83,21,19,2662.46
84,21,19,2662.46
85,21,19,2662.46
86,21,24,2657.38
87,21,24,2657.38
88,21,23,2604.34
89,21,18,2495.36
90,21,18,2495.36
91,21,19,2662.46
92,20,25,2690.00
93,21,25,2666.73
94,21,24,2657.38
95,21,18,2495.36
96,20,15,2631.50
97,20,20,2562.22
98,20,17,2464.37
99,20,17,2464.37
100,20,17,2464.37
