generation,phase1,phase2,delay
1,20,17,2464.37
2,29,27,3262.78
3,20,26,2823.58
4,20,17,2464.37
5,20,30,2859.49
6,20,20,2562.22
7,18,25,2889.46
8,21,23,2604.34
9,21,25,2666.73
10,20,16,2533.01
11,20,25,2690.00
12,20,18,2816.35
13,22,18,2644.90
14,21,18,2495.36
15,22,15,2608.91
16,20,16,2533.01
17,20,19,2503.68
18,22,20,2754.56
19,22,13,2893.99
20,17,20,2562.67
21,19,25,2634.35
22,22,21,2689.94
23,22,18,2644.90
24,22,18,2644.90
25,22,18,2644.90
26,22,15,2608.91
27,22,15,2608.91
28,22,22,2734.73
29,22,15,2608.91
30,22,20,2754.56
31,17,19,2587.73
32,22,22,2734.73
33,18,16,2830.06
34,18,17,2730.22
35,18,17,2730.22
36,22,18,2644.90
37,21,18,2495.36
38,22,18,2644.90
39,22,18,2644.90
40,21,18,2495.36
41,21,18,2495.36
42,21,18,2495.36
43,21,18,2495.36
44,21,18,2495.36
45,21,18,2495.36
46,21,18,2495.36
47,21,18,2495.36
48,22,18,2644.90
49,22,18,2644.90
50,21,18,2495.36
51,17,19,2587.73
52,22,18,2644.90
53,22,18,2644.90
54,21,18,2495.36
55,21,18,2495.36
56,21,21,2683.00
57,22,17,2673.47
58,22,18,2644.90
59,21,23,2604.34
60,19,25,2634.35
61,19,25,2634.35
62,21,26,2631.98
63,21,26,2631.98
64,21,24,2657.38
65,21,24,2657.38
66,20,20,2562.22
67,20,20,2562.22
68,19,26,2750.38
69,20,17,2464.37
70,21,23,2604.34
71,19,20,2735.36
72,19,18,2667.33
73,22,15,2608.91
74,20,20,2562.22
75,22,15,2608.91
76,21,23,2604.34
77,22,16,2592.70
78,22,15,2608.91
79,22,16,2592.70
80,22,15,2608.91
81,22,15,2608.91
82,21,18,2495.36
83,21,18,2495.36
84,21,18,2495.36
85,22,18,2644.90
86,19,18,2667.33
87,20,17,2464.37
88,22,17,2673.47
89,20,17,2464.37
90,20,17,2464.37
91,20,17,2464.37
92,20,17,2464.37
93,20,17,2464.37
94,20,16,2533.01
95,20,25,2690.00
96,20,15,2631.50
97,20,16,2533.01
98,20,15,2631.50
99,22,16,2592.70
100,20,25,2690.00
