generation,phase1,phase2,delay
1,25,36,3311.82
2,42,41,3477.43
3,21,26,2631.98
4,21,26,2631.98
5,19,24,2763.08
6,21,28,2800.68
7,19,19,2741.78
8,19,21,2752.15
9,20,25,2690.00
10,19,17,2738.61
11,14,18,2897.26
12,14,18,2897.26
13,22,18,2644.90
14,22,18,2644.90
15,19,26,2750.38
16,24,22,3109.46
17,24,23,3218.45
18,16,11,3470.28
19,17,28,3156.29
20,20,30,2859.49
21,20,19,2503.68
22,20,32,2956.78
23,17,21,2696.24
24,20,15,2631.50
25,20,20,2562.22
26,20,20,2562.22
27,20,20,2562.22
28,20,20,2562.22
29,21,23,2604.34
30,20,17,2464.37
31,20,17,2464.37
32,20,19,2503.68
33,20,19,2503.68
34,32,32,3288.38
35,20,23,2993.56
36,20,25,2690.00
37,20,25,2690.00
38,15,9,3207.93
39,20,25,2690.00
40,20,25,2690.00
41,20,27,2787.02
42,20,22,2839.08
43,20,17,2464.37
44,20,19,2503.68
45,20,19,2503.68
46,20,19,2503.68
47,20,19,2503.68
48,20,19,2503.68
49,20,19,2503.68
50,21,19,2662.46
51,19,25,2634.35
52,22,18,2644.90
53,22,18,2644.90
54,22,18,2644.90
55,21,19,2662.46
56,21,19,2662.46
57,21,24,2657.38
58,21,23,2604.34
59,21,19,2662.46
60,21,19,2662.46
61,19,16,2847.58
62,24,20,3114.14
63,17,20,2562.67
64,17,20,2562.67
65,17,20,2562.67
66,20,19,2503.68
67,22,13,2893.99
68,22,22,2734.73
69,21,24,2657.38
70,19,20,2735.36
71,21,19,2662.46
72,21,19,2662.46
73,21,25,2666.73
74,21,16,2870.73
75,18,30,3167.16
76,21,16,2870.73
77,19,22,2803.57
78,22,17,2673.47
79,19,18,2667.33
80,22,18,2644.90
81,18,17,2730.22
82,20,17,2464.37
83,20,17,2464.37
84,19,25,2634.35
85,22,16,2592.70
86,22,16,2592.70
87,20,17,2464.37
88,20,17,2464.37
89,20,17,2464.37
90,20,17,2464.37
91,22,16,2592.70
92,20,16,2533.01
93,22,16,2592.70
94,22,16,2592.70
95,22,16,2592.70
96,19,18,2667.33
97,21,18,2495.36
98,17,19,2587.73
99,17,21,2696.24
100,17,21,2696.24
